Company,TypeName,Inches,ScreenResolution,Ram,Gpu,OpSys,Weight,Price_euros,SSD,HDD,Hybrid,Flash_Storage,Cpu_brand,Cpu_speed,price_per_inch
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Linux,2.1,367.0,0,1024,0,0,Intel Core i3 7130U,2.7,23.525641025641026
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.8,979.0,128,1024,0,0,Intel Core i5 8250U,1.6,56.58959537572254
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,1.86,488.69,0,1024,0,0,Intel Core i5 7200U,2.5,31.326282051282053
HP,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce 930MX ,Windows 10,2.1,879.0,256,0,0,0,Intel Core i5 8250U,1.6,56.34615384615385
Asus,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 620,Linux,2.0,389.0,0,1024,0,0,Intel Core i3 6006U,2.0,24.93589743589744
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.65,1499.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,96.0897435897436
Asus,Notebook,15.6,1366x768,8,Nvidia GeForce 940MX,Linux,2.3,522.99,0,1024,0,0,Intel Core i5 7200U,2.5,33.525
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,4,Intel UHD Graphics 620,Windows 10,2.2,682.0,256,0,0,0,Intel Core i5 8250U,1.6,43.71794871794872
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,12,Nvidia GeForce 150MX,Windows 10,2.77,999.0,0,1024,0,0,Intel Core i5 8250U,1.6,57.74566473988439
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,8,Intel Iris Graphics 540,macOS,1.37,1419.0,256,0,0,0,Intel Core i5,2.0,106.69172932330828
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 520,No OS,2.2,369.0,128,0,0,0,Intel Core i3 6006U,2.0,23.65384615384616
Asus,Gaming,17.3,Full HD 1920x1080,8,AMD Radeon RX 580,Windows 10,3.2,1299.0,256,1024,0,0,AMD Ryzen 1700,3.0,75.08670520231213
Dell,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R5 M430,Windows 10,2.3,639.0,256,0,0,0,Intel Core i5 7200U,2.5,40.96153846153846
Asus,Notebook,17.3,1366x768,4,Nvidia GeForce 920MX,Windows 10,2.8,466.0,0,1024,0,0,Intel Pentium Quad Core N4200,1.1,26.936416184971097
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,4,Intel HD Graphics 400,Android,0.69,319.0,0,0,0,64,Intel Atom x5-Z8550,1.44,31.584158415841586
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce MX150,Windows 10,2.2,841.0,256,0,0,0,Intel Core i7 8550U,1.8,53.91025641025641
HP,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R4 Graphics,Windows 10,1.86,398.49,256,0,0,0,AMD A6-Series 9220,2.5,25.54423076923077
HP,Notebook,13.3,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.49,1103.0,512,0,0,0,Intel Core i7 8550U,1.8,82.93233082706766
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,2.4,384.0,0,1024,0,0,Intel Core i3 7100U,2.4,24.615384615384617
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 520,Windows 10,2.13,767.8,256,0,0,0,Intel Core i7 8550U,1.8,49.21794871794872
HP,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,Windows 10,1.91,439.0,128,0,0,0,Intel Core i3 6006U,2.0,28.14102564102564
Asus,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,2.0,586.19,256,0,0,0,Intel Core i5 7200U,2.5,37.57628205128206
MSI,Gaming,17.3,Full HD 1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.43,2449.0,256,2048,0,0,Intel Core i7 7700HQ,2.8,141.56069364161849
Asus,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,Linux,2.0,415.0,256,0,0,0,Intel Core i3 6006U,2.0,26.602564102564106
Dell,Notebook,17.3,Full HD 1920x1080,16,AMD Radeon 530,Windows 10,2.8,1299.0,256,2048,0,0,Intel Core i7 8550U,1.8,75.08670520231213
Dell,Ultrabook,14.0,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.7,879.0,256,0,0,0,Intel Core i5 8250U,1.6,62.785714285714285
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,No OS,1.7,599.0,256,0,0,0,Intel Core i3 7130U,2.7,42.785714285714285
Asus,Notebook,14.0,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.4,941.0,256,0,0,0,Intel Core i5 8250U,1.6,67.21428571428571
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.86,690.0,256,0,0,0,Intel Core i5 7200U,2.5,44.23076923076923
Asus,Ultrabook,15.6,Full HD 1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8,1983.0,512,0,0,0,Intel Core i7 7700HQ,2.8,127.1153846153846
HP,Notebook,15.6,1366x768,4,AMD Radeon 520,Windows 10,1.86,438.69,0,500,0,0,Intel Core i3 6006U,2.0,28.121153846153845
HP,Notebook,14.0,1366x768,4,Intel HD Graphics 400,Windows 10,1.44,229.0,32,0,0,0,Intel Celeron Dual Core N3060,1.6,16.357142857142858
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 620,Windows 10,1.9,549.0,0,1024,0,0,Intel Core i5 7200U,2.5,35.19230769230769
Asus,Gaming,17.3,Full HD 1920x1080,12,Nvidia GeForce GTX 1050 Ti,Linux,3.0,949.0,0,1024,0,0,Intel Core i7 7700HQ,2.8,54.85549132947977
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,4,Intel HD Graphics 620,Windows 10 S,1.252,1089.0,128,0,0,0,Intel Core i5 7200U,2.5,80.66666666666667
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8,AMD Radeon 530,Windows 10,1.4,955.0,256,0,0,0,Intel Core i7 8550U,1.8,71.80451127819549
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,2.2,870.0,256,0,0,0,Intel Core i7 8550U,1.8,55.76923076923077
MSI,Gaming,17.3,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.7,1095.0,128,1024,0,0,Intel Core i5 7300HQ,2.5,63.29479768786127
Acer,Notebook,14.0,1366x768,8,Intel HD Graphics 520,Windows 10,2.1,389.0,0,1024,0,0,Intel Core i3 6006U,2.0,27.785714285714285
Asus,Gaming,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.2,949.0,0,1024,0,0,Intel Core i7 7700HQ,2.8,60.833333333333336
Lenovo,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,No OS,2.2,519.0,0,2048,0,0,Intel Core i5 7200U,2.5,33.26923076923077
Dell,Notebook,15.6,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,2.02,855.0,128,1024,0,0,Intel Core i7 8550U,1.8,54.80769230769231
Acer,Notebook,15.6,Full HD 1920x1080,4,Nvidia GeForce MX130,Windows 10,2.2,530.0,0,1024,0,0,Intel Core i3 7130U,2.7,33.97435897435898
HP,Notebook,17.3,Full HD 1920x1080,8,Nvidia GeForce 930MX,Windows 10,2.5,977.0,128,1024,0,0,Intel Core i5 8250U,1.6,56.47398843930635
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.88,1096.16,256,0,0,0,Intel Core i5 8250U,1.6,70.26666666666668
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,8,Intel HD Graphics 615,macOS,0.92,1510.0,512,0,0,0,Intel Core i5,1.3,125.83333333333331
HP,Notebook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.63,860.0,256,0,0,0,Intel Core i5 8250U,1.6,61.42857142857143
Lenovo,Notebook,15.6,Full HD 1920x1080,4,AMD R4 Graphics,Windows 10,2.2,399.0,128,0,0,0,AMD A6-Series 9220,2.5,25.57692307692308
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,395.0,0,1024,0,0,AMD A9-Series 9420,3.0,25.32051282051282
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65,1349.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,86.47435897435898
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 940MX,Windows 10,1.83,699.0,256,0,0,0,Intel Core i7 8550U,1.8,44.80769230769231
HP,Notebook,15.6,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.96,598.99,256,0,0,0,Intel Core i5 7200U,2.5,38.39679487179488
Asus,Gaming,15.6,IPS Panel Full HD 1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.2,1449.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,92.8846153846154
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.21,1649.0,256,0,0,0,Intel Core i7 8550U,1.8,123.98496240601504
Asus,Gaming,15.6,Full HD 1920x1080,8,AMD Radeon RX 560,Windows 10,2.45,699.0,0,1024,0,0,AMD FX 9830P,3.0,44.80769230769231
Acer,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce MX150,Windows 10,2.2,689.0,0,1024,0,0,Intel Core i7 8550U,1.8,44.16666666666666
HP,Notebook,13.3,Full HD 1920x1080,16,Intel UHD Graphics 620,Windows 10,1.49,1197.0,512,0,0,0,Intel Core i7 8550U,1.8,90.0
Dell,Gaming,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1060,Windows 10,2.65,1195.0,256,0,0,0,Intel Core i5 7300HQ,2.5,76.6025641025641
Asus,Ultrabook,14.0,Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.25,1049.0,256,0,0,0,Intel Core i7 7500U,2.7,74.92857142857143
Acer,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.5,847.0,256,0,0,0,Intel Core i5 8250U,1.6,63.68421052631579
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon R5 M430,Linux,2.2,599.9,0,1024,0,0,Intel Core i7 7500U,2.7,38.45512820512821
Dell,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R5 M430,Linux,2.2,485.0,256,0,0,0,Intel Core i3 6006U,2.0,31.08974358974359
Asus,Notebook,15.6,Full HD 1920x1080,6,Nvidia GeForce 920M,Windows 10,2.0,577.0,256,0,0,0,Intel Core i3 7100U,2.4,36.98717948717949
HP,Gaming,15.6,IPS Panel Full HD 1920x1080,12,Nvidia GeForce GTX 1050,Windows 10,2.62,1249.0,128,1024,0,0,Intel Core i7 7700HQ,2.8,80.06410256410257
HP,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 530,Windows 10,1.91,719.0,256,0,0,0,Intel Core i7 7500U,2.7,46.08974358974359
HP,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R2,Windows 10,2.1,349.0,0,500,0,0,AMD E-Series E2-9000e,1.5,22.371794871794872
Dell,Notebook,15.6,Full HD 1920x1080,8,AMD Radeon 520,Linux,2.2,647.0,0,1024,0,0,Intel Core i5 8250U,1.6,41.47435897435898
HP,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8,Nvidia GeForce MX150,Windows 10,1.38,1119.0,256,0,0,0,Intel Core i7 7500U,2.7,84.13533834586465
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,8,Intel HD Graphics 620,Windows 10 S,1.252,1340.0,256,0,0,0,Intel Core i5 7200U,2.5,99.25925925925924
HP,Notebook,14.0,IPS Panel Full HD 1920x1080,6,Nvidia GeForce 940MX,Windows 10,1.58,659.0,256,0,0,0,Intel Core i5 7200U,2.5,47.07142857142857
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 520,Windows 10,1.85,414.9,0,1024,0,0,Intel Core i3 6006U,2.0,26.596153846153847
Asus,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.3,1193.0,256,0,0,0,Intel Core i7 7500U,2.7,85.21428571428571
MSI,Gaming,15.6,Full HD 1920x1080,16,Nvidia GeForce GTX 1050 Ti,Windows 10,2.2,1299.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,83.26923076923077
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8,Intel HD Graphics 620,Windows 10,1.58,1480.0,256,0,0,0,Intel Core i7 7500U,2.7,105.71428571428572
Asus,Ultrabook,15.6,Full HD 1920x1080,16,Nvidia GeForce MX150,Windows 10,1.5,1262.0,256,1024,0,0,Intel Core i7 8550U,1.8,80.8974358974359
Dell,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,8,Intel Iris Plus Graphics 640,Windows 10,1.23,1379.0,256,0,0,0,Intel Core i7 7560U,2.4,103.68421052631578
Lenovo,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8,Intel HD Graphics 620,Windows 10,1.37,1399.0,256,0,0,0,Intel Core i5 7200U,2.5,105.18796992481202
HP,Notebook,14.0,IPS Panel 1366x768,4,Intel UHD Graphics 620,Windows 10,1.63,722.0,0,500,0,0,Intel Core i5 8250U,1.6,51.57142857142857
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.21,1629.0,256,0,0,0,Intel Core i5 8250U,1.6,122.4812030075188
HP,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.26,1398.99,256,0,0,0,Intel Core i5 8250U,1.6,105.18721804511276
HP,Notebook,14.0,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.63,1084.0,512,0,0,0,Intel Core i7 8550U,1.8,77.42857142857143
Dell,Notebook,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,2.16,1130.33,256,1024,0,0,Intel Core i7 8550U,1.8,72.45705128205128
Asus,Notebook,17.3,Full HD 1920x1080,4,Nvidia GeForce 920MX,Windows 10,2.0,564.0,0,1024,0,0,Intel Core i3 6006U,2.0,32.60115606936416
Asus,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce 940MX,Windows 10,1.7,1118.0,256,0,0,0,Intel Core i7 8550U,1.8,71.66666666666667
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,6,Intel HD Graphics 620,Windows 10,2.1,479.0,0,1024,0,0,Intel Core i3 7100U,2.4,30.705128205128204
MSI,Gaming,15.6,Full HD 1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,1.8,2241.5,256,2048,0,0,Intel Core i7 7700HQ,2.8,143.68589743589743
Lenovo,Notebook,15.6,Full HD 1920x1080,8,Nvidia GeForce 940MX,No OS,2.2,629.0,256,0,0,0,Intel Core i5 7200U,2.5,40.320512820512825
HP,Notebook,17.3,Full HD 1920x1080,16,Nvidia GeForce 930MX ,Windows 10,2.5,1271.0,512,0,0,0,Intel Core i7 8550U,1.8,73.46820809248554
Acer,Notebook,15.6,1366x768,4,AMD Radeon R5,Windows 10,2.1,451.0,256,0,0,0,AMD A9-Series 9420,3.0,28.91025641025641
HP,Notebook,15.6,1366x768,4,Intel HD Graphics 400,No OS,1.86,259.0,0,500,0,0,Intel Celeron Dual Core N3060,1.6,16.602564102564102
HP,Notebook,14.0,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.63,812.0,0,1024,0,0,Intel Core i5 8250U,1.6,58.0
Asus,Notebook,14.0,1366x768,4,AMD Radeon R2,Windows 10 S,1.65,277.99,64,0,0,0,AMD E-Series 6110,1.5,19.856428571428573
Dell,Notebook,17.3,Full HD 1920x1080,16,AMD Radeon 530,Windows 10,2.8,1396.0,256,2048,0,0,Intel Core i7 8550U,1.8,80.69364161849711
HP,Notebook,17.3,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,2.5,928.0,256,0,0,0,Intel Core i5 8250U,1.6,53.64161849710983
Dell,Notebook,15.6,1366x768,8,AMD Radeon R7 M445,Windows 10,2.36,638.99,0,1024,0,0,Intel Core i5 7200U,2.5,40.96089743589744
Dell,Notebook,15.6,Full HD 1920x1080,4,AMD Radeon R5 M430,Windows 10,2.2,449.0,0,1024,0,0,Intel Core i3 6006U,2.0,28.78205128205128
Acer,Ultrabook,14.0,IPS Panel Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.6,884.0,256,0,0,0,Intel Core i7 8550U,1.8,63.142857142857146
Acer,Notebook,15.6,Full HD 1920x1080,4,Nvidia GeForce MX130,Windows 10,2.2,572.0,256,0,0,0,Intel Core i3 7130U,2.7,36.66666666666666
HP,Notebook,15.6,1366x768,8,Intel HD Graphics 620,Windows 10,2.05,598.0,0,1024,0,0,Intel Core i7 7500U,2.7,38.333333333333336
HP,Notebook,14.0,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.63,988.0,256,0,0,0,Intel Core i7 8550U,1.8,70.57142857142857
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 500,No OS,1.9,252.36,0,1024,0,0,Intel Celeron Dual Core N3350,1.1,16.176923076923078
Asus,Gaming,17.3,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,3.0,938.0,128,1024,0,0,Intel Core i5 7300HQ,2.5,54.21965317919075
Lenovo,Notebook,15.6,Full HD 1920x1080,4,Nvidia GeForce 920MX,No OS,2.2,499.0,0,1024,0,0,Intel Core i5 7200U,2.5,31.98717948717949
HP,Notebook,13.3,IPS Panel Full HD 1920x1080,4,Intel HD Graphics 620,Windows 10,1.32,699.0,256,0,0,0,Intel Core i5 7200U,2.5,52.556390977443606
Acer,Notebook,17.3,IPS Panel Full HD 1920x1080,4,Nvidia GeForce MX130,Windows 10,3.0,655.0,0,1024,0,0,Intel Core i3 7130U,2.7,37.861271676300575
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,8,AMD Radeon RX 550,Windows 10,1.75,1116.02,256,0,0,0,Intel Core i5 8250U,1.6,79.71571428571428
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,8,Nvidia GeForce GTX 1050M,No OS,2.4,869.0,256,0,0,0,Intel Core i7 7700HQ,2.8,55.70512820512821
Toshiba,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,602.0,0,500,0,0,Intel Core i5 6200U,2.3,38.58974358974359
HP,Notebook,15.6,1366x768,4,AMD Radeon R4 Graphics,Windows 10,1.86,369.0,256,0,0,0,AMD A6-Series 9220,2.5,23.65384615384616
Asus,Ultrabook,14.0,Full HD 1920x1080,8,Intel UHD Graphics 620,Windows 10,1.25,1099.0,256,0,0,0,Intel Core i7 8550U,1.8,78.5
HP,Ultrabook,12.5,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,8,Intel HD Graphics 515,Windows 10,0.97,2014.0,512,0,0,0,Intel Core M 6Y75,1.2,161.12
Asus,Notebook,15.6,Full HD 1920x1080,4,Intel HD Graphics 500,Windows 10,2.0,344.0,0,1024,0,0,Intel Celeron Dual Core N3350,1.1,22.05128205128205
MSI,Gaming,17.3,Full HD 1920x1080,16,Nvidia GeForce GTX 1070,Windows 10,2.9,2029.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,117.28323699421964
Acer,Notebook,15.6,1366x768,4,Intel HD Graphics 520,Windows 10,2.1,447.0,0,1024,0,0,Intel Core i3 6006U,2.0,28.65384615384616
Dell,Gaming,15.6,Full HD 1920x1080,16,Nvidia GeForce GTX 1050,Windows 10,2.56,1249.26,512,0,0,0,Intel Core i7 7700HQ,2.8,80.08076923076923
Dell,Gaming,15.6,Full HD 1920x1080,8,Nvidia GeForce GTX 1050,Windows 10,2.62,899.0,0,0,1024,0,Intel Core i7 7700HQ,2.8,57.62820512820513
Lenovo,Notebook,15.6,1366x768,4,Intel HD Graphics 620,Windows 10,1.9,498.0,128,0,0,0,Intel Core i5 7200U,2.5,31.923076923076923
MSI,Gaming,17.3,Full HD 1920x1080,16,Nvidia GeForce GTX 1060,Windows 10,2.8,1890.0,256,1024,0,0,Intel Core i7 7700HQ,2.8,109.2485549132948
HP,Ultrabook,14.0,Full HD 1920x1080,4,Intel HD Graphics 620,Windows 10,1.48,1082.0,256,0,0,0,Intel Core i5 7500U,2.7,77.28571428571429
HP,Notebook,15.6,Full HD 1920x1080,6,AMD Radeon 520,Windows 10,1.91,619.0,256,0,0,0,Intel Core i5 8250U,1.6,39.67948717948718
Lenovo,2 in 1 Convertible,14.0,IPS Panel Full HD / Touchscreen 1920x1080,4,Intel HD Graphics 620,Windows 10,1.74,629.0,256,0,0,0,Intel Core i3 7100U,2.4,44.92857142857143
Asus,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,8,Intel HD Graphics 620,Windows 10,1.1,1315.0,256,0,0,0,Intel Core i5 8250U,1.6,98.87218045112782
